,Datetime,Tweet Id,Text,Replies,Likes,Retweets,Quote Retweets,URL,Intentionally left blank,Username,Display Name,Raw Description,Rendered Description,Verified?,Date Created,Followers Count
10,2017-04-07 03:56:38+00:00,850195585474764800,"Kadamay: Paratang na komunista ang kanilang grupo, guni-guni lang ni Sen. Antonio Trillanes @DZMMTeleRadyo https://t.co/3PpFbgbQ0e",0,0,0,1,https://twitter.com/zhandercayabyab/status/850195585474764800, ,zhandercayabyab,Zhander Cayabyab,News Anchor at DZXL RMN | Broadcast Journalist | College Instructor @ThePUPOfficial; TikTok: @maskomportable,News Anchor at DZXL RMN | Broadcast Journalist | College Instructor @ThePUPOfficial; TikTok: @maskomportable,False,2012-08-06 07:42:21+00:00,12948
11,2017-04-07 03:32:31+00:00,850189519047376896,"Trillanes: Kadamay komunista!

Studio: Pilipino sila
House: Lutasin ang kahirapan
Lot: Pabahay para sa mahirap
Constitution: Art 13 Sec 9/10",0,2,0,0,https://twitter.com/tonyocruz/status/850189519047376896, ,tonyocruz,Tonyo Cruz,Filipino 🇵🇭 @manilabulletin columnist,Filipino 🇵🇭 @manilabulletin columnist,True,2007-04-13 17:55:15+00:00,32921
12,2017-04-06 11:01:27+00:00,849940107662512128,"On Trillanes' red tagging of Kadamay(NV):
Mas mabuti nang maging komunista kesa maging bulok na reaksiyunaryong pulitiko gaya mo (Trillanes)",1,0,0,0,https://twitter.com/innoculum/status/849940107662512128, ,innoculum,Innoculatum,"Mortis vivo docet. Everybody lies, but numbers don't. Your resident alcoholic basura.","Mortis vivo docet. Everybody lies, but numbers don't. Your resident alcoholic basura.",False,2011-01-30 07:52:43+00:00,208
13,2017-04-06 05:48:09+00:00,849861264721432576,".@TrillanesSonny @milkyrigonan Sen. @TrillanesSonny: May info ako yung Kadamay front ng mga komunista, ginagamit sa shakedown ng negosyo. Delikado yan | RH12 @milkyrigonan",3,0,2,0,https://twitter.com/dzrhnews/status/849861264721432576, ,dzrhnews,DZRH NEWS,"The official Twitter account of radio station DZRH, Manila Broadcasting Company, Ang Kaunaunahan sa Pilipinas.","The official Twitter account of radio station DZRH, Manila Broadcasting Company, Ang Kaunaunahan sa Pilipinas.",False,2009-09-17 00:35:08+00:00,133506
14,2017-04-06 05:42:36+00:00,849859868349444096,"@TrillanesSonny may info ako yun Kadamay front ng mga komunista. Ginagamit sa shakedown ng negosyo, delikado yan @dzrhnews",0,1,0,0,https://twitter.com/milkyrigonan/status/849859868349444096, ,milkyrigonan,milky rigonan 💋,Broadcast Journalist/ Mom/Golfer⛳️https://t.co/TJ2ZC8M8gj,Broadcast Journalist/ Mom/Golfer⛳️Instagram.com/milkyrigonan,False,2009-09-11 07:15:53+00:00,3479
15,2017-04-04 16:09:39+00:00,849292892354920448,@cnnphilippines Kadamay sya ng komunista.,0,1,0,0,https://twitter.com/Harperblammo/status/849292892354920448, ,Harperblammo,Harper,#PorVida,#PorVida,False,2016-05-06 15:47:20+00:00,1160
16,2017-05-25 02:31:40+00:00,867568821548101633,@DZMMTeleRadyo wala na kayo naitulogn sa gobyerno kugn di dumagdag gulo  kayo kadamay  magbanat kayo buto puro kayo komunista ginagamit ng mga miyembro,0,0,0,0,https://twitter.com/marinellamarti3/status/867568821548101633, ,marinellamarti3,"Sold Out Kings, Breaking Records, Biggest Boy Band",,,False,2012-12-26 05:50:26+00:00,97
17,2018-03-23 22:11:23+00:00,977306842098417664,@Dutertenomics magra rally na naman mga bugok na komunista at mga pisting skolar ng bayan sasamahan pa ng mga pisting yawa na kadamay,1,3,0,0,https://twitter.com/SamohKan/status/977306842098417664, ,SamohKan,Samo Kan,i sell democracy... buy 1 take 1.,i sell democracy... buy 1 take 1.,False,2011-06-23 04:26:59+00:00,196
18,2018-05-03 04:36:15+00:00,991899212945149957,"Mga kids, eto ang galawang Komunista, mga Kadamay, mga tao ng CPP-NPA. Kaya wag na sumama sa mga rally! https://t.co/PUWcyANMKN",0,0,0,0,https://twitter.com/NokieVillanueva/status/991899212945149957, ,NokieVillanueva,Nokie Villanueva,"Azure Certified #DevOps Law student, #WSL2 fanboy / Lakers Fan, Blanka fighter, chef kuno, love to cook, port sniffer, part time Miron, Baby Trisha addict ❤❤❤","Azure Certified #DevOps Law student, #WSL2 fanboy / Lakers Fan, Blanka fighter, chef kuno, love to cook, port sniffer, part time Miron, Baby Trisha addict ❤❤❤",False,2010-01-20 16:21:26+00:00,140
19,2018-06-14 19:55:41+00:00,1007350885490409473,@TishaCM Udyok yan ng mga komunista. Di alam ng karamihan ng membro ng kadamay na ginagamit lang sila. At ang masama di pa nila alam kung sino talaga ang nasa likod nyan.,1,3,2,0,https://twitter.com/dTnalakRiderSR/status/1007350885490409473, ,dTnalakRiderSR,KulasSR,Right and Wrong depends on the MAJORITY of the people in the society where you live in of what is Right and Wrong. DEMOCRACY,Right and Wrong depends on the MAJORITY of the people in the society where you live in of what is Right and Wrong. DEMOCRACY,False,2016-10-28 08:40:41+00:00,3274
